,Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Married,MaritalStatus_Single
840,29.0,14.0,3,5,5,1,2.0,142.57,0,False,False,True,True,False
841,9.0,15.0,3,5,4,0,0.0,120.18,1,False,False,True,False,True
842,10.0,9.0,3,4,4,0,1.0,141.07,0,False,True,False,False,True
843,28.0,10.0,4,5,4,0,6.0,184.4,0,False,True,False,False,False
844,12.0,13.0,5,3,4,0,8.0,178.21,0,False,True,False,True,False
845,1.0,28.0,5,4,3,1,1.0,146.21,1,False,False,True,False,True
846,10.0,14.0,2,5,4,0,14.0,171.39,0,False,True,False,True,False
847,1.0,20.0,4,5,4,0,3.0,167.33,1,False,True,False,True,False
848,19.0,14.0,4,5,4,0,3.0,222.24,0,False,False,False,True,False
849,7.0,15.0,4,4,2,0,7.0,186.21,0,False,False,False,False,True
850,4.0,26.0,3,3,2,0,0.0,169.32,0,False,True,False,False,False
851,1.0,27.0,4,3,3,0,3.0,224.81,0,False,True,False,False,True
852,8.0,7.0,5,5,2,0,10.0,178.43,0,False,True,False,False,True
853,3.0,30.0,2,3,3,0,8.0,152.0,0,False,False,True,False,False
854,11.0,23.0,5,3,6,0,1.0,188.34,0,False,True,False,True,False
855,13.0,22.0,3,1,7,1,3.0,179.45,0,False,False,False,False,True
856,3.0,17.0,4,3,3,0,1.0,151.42,0,False,False,True,False,True
858,10.0,15.0,3,4,2,0,7.0,188.34,0,False,False,False,True,False
859,1.0,30.0,4,5,11,1,3.0,224.5,1,False,False,False,True,False
860,1.0,16.0,4,5,4,1,1.0,156.72,1,False,False,True,False,True
861,9.0,15.0,4,4,3,1,2.0,188.47,0,False,True,False,True,False
864,11.0,6.0,1,3,2,0,0.0,128.44,0,False,False,True,True,False
865,10.0,10.0,2,5,8,0,5.0,193.42,0,False,True,False,True,False
866,26.0,13.0,2,3,4,0,3.0,248.14,0,True,False,False,False,False
868,22.0,6.0,4,3,8,1,7.0,239.64,0,True,False,False,False,True
869,10.0,11.0,4,4,9,0,3.0,176.31,0,False,True,False,True,False
870,1.0,21.0,5,4,3,1,3.0,162.43,1,False,False,True,True,False
871,10.0,8.0,3,3,5,1,0.0,196.02,0,False,True,False,False,False
872,4.0,13.0,4,3,2,0,9.0,189.43,0,False,False,False,False,False
873,8.0,6.0,3,3,2,0,3.0,148.59,0,False,True,False,False,True
874,12.0,8.0,5,5,6,0,1.0,153.58,0,False,False,True,False,True
875,1.0,9.0,4,5,9,0,8.0,152.07,1,False,False,True,True,False
876,7.0,21.0,4,4,3,0,7.0,152.56,0,False,False,True,True,False
877,19.0,36.0,4,1,6,1,3.0,218.8,0,False,False,False,True,False
878,1.0,9.0,4,1,2,0,2.0,150.23,0,False,False,True,True,False
879,10.0,25.0,4,2,4,0,10.0,202.79,0,False,True,False,False,True
880,12.0,9.0,2,4,10,0,6.0,163.89,0,False,True,False,False,False
881,9.0,7.0,4,3,3,0,4.0,173.59,0,False,True,False,False,True
882,8.0,15.0,2,3,3,0,9.0,192.99,0,False,True,False,True,False
883,12.0,8.0,4,1,9,0,10.0,172.35,0,False,True,False,True,False
884,1.0,15.0,6,3,3,0,3.0,171.21,0,False,False,True,False,False
886,2.0,7.0,6,2,2,0,6.0,191.74,0,False,True,False,False,False
887,3.0,6.0,3,4,2,0,7.0,137.48,0,False,False,True,True,False
888,4.0,17.0,5,3,3,0,5.0,190.78,0,False,True,False,False,False
889,0.0,14.0,4,1,2,1,1.0,123.89,1,False,False,True,False,True
890,14.0,17.0,5,4,4,0,3.0,222.05,0,False,False,False,True,False
892,7.0,6.0,4,3,2,1,6.0,170.83,0,False,False,False,False,False
893,8.0,8.0,3,4,6,0,2.0,144.25,0,False,True,False,False,True
897,10.0,14.0,3,2,2,1,2.0,123.26,0,False,False,True,False,False
900,27.0,17.0,3,1,4,0,12.0,260.32,0,True,False,False,True,False
901,3.0,9.0,5,5,4,1,1.0,161.46,1,False,False,True,False,True
902,0.0,10.0,1,4,2,1,3.0,161.42,0,False,True,False,True,False
903,0.0,14.0,3,5,2,0,2.0,125.0,0,False,False,True,True,False
904,10.0,17.0,3,2,2,1,3.0,221.85,0,False,False,False,True,False
905,3.0,14.0,3,3,6,0,7.0,172.64,0,False,False,False,True,False
906,4.0,29.0,5,3,4,1,1.0,188.8,1,False,True,False,False,False
907,11.0,8.0,5,1,3,1,3.0,154.05,0,False,True,False,True,False
908,5.0,33.0,4,3,3,0,4.0,154.11,0,False,False,True,True,False
909,14.0,9.0,5,3,8,0,1.0,159.48,0,False,True,False,True,False
910,3.0,17.0,4,4,2,0,2.0,157.91,0,False,False,True,True,False
911,9.0,12.0,3,3,9,0,2.0,122.67,0,False,False,True,True,False
912,1.0,9.0,6,1,7,1,3.0,159.64,1,False,False,True,True,False
914,15.0,11.0,4,3,11,1,8.0,149.61,1,False,False,True,False,False
915,1.0,16.0,5,5,9,0,4.0,159.07,1,False,True,False,False,True
916,14.0,12.0,3,3,2,0,7.0,192.41,0,False,False,False,False,True
917,10.0,17.0,4,5,9,1,8.0,208.21,0,False,False,False,True,False
918,1.0,22.0,4,3,3,0,3.0,151.1,1,False,False,True,False,False
919,9.0,11.0,3,3,5,0,0.0,120.93,0,False,False,True,False,False
923,9.0,9.0,3,4,2,0,0.0,114.83,0,False,False,True,False,True
924,21.0,9.0,4,3,6,0,1.0,149.79,1,False,False,True,False,True
925,5.0,8.0,1,1,8,0,7.0,150.55,0,False,True,False,False,True
927,1.0,10.0,4,3,3,0,1.0,139.2,1,False,False,True,False,True
929,20.0,7.0,4,5,9,0,3.0,218.96,0,False,False,False,True,False
930,13.0,9.0,4,3,2,0,9.0,234.38,0,False,False,False,False,True
932,9.0,14.0,3,1,5,0,7.0,150.79,0,False,True,False,True,False
933,11.0,7.0,4,4,8,0,4.0,189.47,0,False,True,False,False,False
934,1.0,14.0,4,3,3,0,2.0,173.83,1,False,True,False,True,False
935,1.0,32.0,6,3,3,0,2.0,147.93,1,False,False,True,False,True
936,3.0,7.0,3,4,1,1,7.0,135.79,0,False,False,True,True,False
937,26.0,6.0,4,3,5,1,3.0,229.65,0,True,False,False,True,False
938,9.0,14.0,3,3,2,0,0.0,119.04,1,False,False,True,False,True
939,2.0,8.0,3,4,1,0,2.0,131.8,0,False,False,True,True,False
940,6.0,8.0,3,4,9,0,7.0,151.47,0,False,True,False,False,True
941,22.0,36.0,4,3,5,0,1.0,250.04,0,False,False,False,True,False
942,27.0,7.0,4,5,9,0,11.0,208.81,0,False,True,False,False,True
943,23.0,7.0,5,3,9,1,8.0,264.64,0,True,False,False,False,True
944,23.0,14.0,3,4,8,0,2.0,138.75,0,False,False,True,False,False
945,4.0,11.0,5,4,3,1,8.0,177.09,0,False,True,False,True,False
946,9.0,14.0,5,5,2,1,7.0,121.19,1,False,False,True,False,False
947,1.0,8.0,4,3,2,0,3.0,158.75,0,False,False,True,False,True
948,1.0,12.0,5,1,3,1,9.0,253.08,0,False,False,False,True,False
949,19.0,9.0,6,3,2,0,2.0,191.32,0,False,True,False,False,True
950,14.0,16.0,4,3,5,0,8.0,164.75,0,False,True,False,True,False
951,9.0,16.0,4,5,2,0,0.0,114.16,1,False,False,True,False,True
952,3.0,8.0,4,1,3,0,3.0,162.6,0,False,False,True,True,False
953,9.0,16.0,4,3,2,0,0.0,112.0,0,False,False,True,False,True
954,28.0,10.0,3,3,1,1,2.0,140.35,0,False,True,False,False,False
955,6.0,9.0,4,5,3,0,3.0,149.39,0,False,False,True,False,True
956,16.0,19.0,4,1,5,1,1.0,175.87,0,False,True,False,True,False
957,0.0,7.0,4,5,2,0,7.0,197.14,1,False,True,False,True,False
958,5.0,18.0,3,5,1,1,14.0,237.58,1,True,False,False,False,True
959,26.0,30.0,1,1,4,0,2.0,170.05,0,False,False,False,True,False
961,5.0,11.0,3,4,3,0,7.0,127.18,0,False,False,True,False,True
962,9.0,7.0,3,3,1,0,3.0,120.64,0,False,False,True,True,False
963,0.0,14.0,5,5,1,0,0.0,123.25,1,False,False,True,False,True
964,0.0,11.0,4,1,2,1,3.0,228.08,0,False,False,False,True,False
965,13.0,29.0,4,5,3,1,9.0,233.8,0,False,False,False,False,True
966,1.0,12.0,4,5,3,1,3.0,148.8,0,False,False,True,False,True
968,9.0,6.0,3,3,1,1,2.0,121.54,0,False,False,True,False,True
969,1.0,18.0,4,4,3,0,3.0,147.44,0,False,False,True,False,False
971,2.0,16.0,4,2,3,0,5.0,145.7,0,False,False,True,False,False
972,9.0,28.0,5,3,2,0,0.0,115.55,1,False,False,True,True,False
974,9.0,19.0,3,4,2,0,0.0,120.33,0,False,False,True,False,False
975,9.0,23.0,4,4,2,0,0.0,121.27,0,False,False,True,False,False
976,1.0,7.0,4,3,3,0,8.0,177.96,0,False,True,False,False,False
977,15.0,14.0,3,5,4,0,2.0,125.76,0,False,False,True,True,False
979,12.0,7.0,5,3,11,1,1.0,178.81,1,False,False,False,False,True
981,3.0,35.0,5,5,3,0,5.0,162.85,0,False,False,True,False,True
982,3.0,20.0,5,4,6,1,4.0,165.25,0,False,True,False,True,False
984,0.0,14.0,3,1,2,0,7.0,125.7,0,False,False,True,False,True
986,16.0,12.0,4,3,6,0,1.0,145.93,0,False,False,True,False,False
988,11.0,8.0,3,4,8,0,0.0,173.51,0,False,False,False,False,True
989,15.0,8.0,4,4,5,0,0.0,148.41,0,False,False,True,True,False
990,6.0,13.0,3,4,1,0,2.0,143.02,0,False,True,False,False,False
991,5.0,14.0,4,1,3,1,11.0,196.43,0,False,False,False,False,True
992,15.0,12.0,2,4,5,0,3.0,193.7,0,False,True,False,False,True
993,1.0,15.0,3,1,2,0,7.0,152.53,0,False,True,False,False,True
994,1.0,18.0,5,5,3,1,1.0,151.0,1,False,False,True,False,True
995,4.0,10.0,1,3,9,0,2.0,139.78,0,False,False,True,True,False
996,28.0,14.0,4,1,6,0,8.0,193.54,0,False,True,False,True,False
997,1.0,15.0,4,3,3,0,3.0,212.26,0,False,False,False,False,True
998,13.0,31.0,5,1,2,0,7.0,245.31,0,True,False,False,True,False
999,9.0,15.0,2,1,3,0,2.0,147.69,0,False,False,True,True,False
1000,14.0,9.0,4,3,4,0,3.0,148.45,0,False,False,True,True,False
1001,0.0,14.0,1,1,1,0,7.0,125.44,0,False,False,True,True,False
1002,1.0,5.0,5,4,3,0,1.0,150.96,1,False,False,True,True,False
1004,3.0,30.0,4,2,11,0,3.0,147.01,0,False,False,True,False,True
1005,8.0,17.0,4,3,3,1,1.0,163.15,0,False,False,True,True,False
1006,11.0,14.0,4,5,7,1,5.0,167.84,0,False,True,False,True,False
1007,17.0,14.0,1,2,3,1,2.0,128.18,0,False,False,True,False,False
1009,7.0,14.0,3,5,6,0,2.0,165.0,0,False,True,False,False,False
1010,0.0,10.0,3,4,2,0,2.0,132.95,0,False,False,True,False,True
1011,1.0,16.0,4,5,9,0,5.0,167.0,1,False,False,True,False,True
1012,19.0,9.0,3,4,9,0,1.0,266.06,0,True,False,False,False,False
1013,3.0,22.0,3,3,9,0,2.0,153.01,0,False,True,False,False,False
1014,14.0,8.0,3,5,8,0,8.0,265.95,0,True,False,False,False,False
1017,1.0,15.0,2,4,2,0,3.0,173.51,0,False,True,False,True,False
1019,1.0,8.0,3,4,5,0,4.0,148.55,1,False,True,False,True,False
1020,3.0,16.0,4,3,2,0,4.0,165.78,0,False,True,False,False,False
1021,15.0,16.0,3,3,4,0,3.0,129.36,0,False,False,True,True,False
1022,9.0,32.0,3,3,7,0,2.0,153.47,0,False,True,False,True,False
1023,12.0,17.0,4,3,5,0,3.0,185.77,0,False,True,False,True,False
1024,1.0,10.0,4,5,3,1,4.0,166.94,0,False,True,False,False,False
1025,5.0,9.0,4,2,2,1,3.0,151.95,0,False,False,True,True,False
1026,5.0,35.0,4,4,2,0,1.0,128.37,0,False,False,True,False,True
1027,6.0,33.0,4,1,2,0,3.0,169.65,0,False,True,False,True,False
1029,13.0,15.0,4,1,10,0,2.0,148.76,0,False,True,False,True,False
1030,9.0,7.0,5,3,8,0,8.0,147.58,0,False,False,True,True,False
1031,9.0,32.0,5,2,6,0,3.0,161.81,0,False,True,False,False,True
1032,4.0,14.0,5,4,3,0,2.0,146.41,0,False,False,True,True,False
1033,8.0,14.0,3,3,2,0,9.0,141.48,0,False,True,False,True,False
1035,1.0,7.0,4,1,3,1,9.0,151.86,1,False,False,True,False,True
1036,15.0,20.0,4,3,8,0,3.0,162.44,0,False,True,False,False,True
1038,24.0,13.0,4,3,3,0,0.0,161.32,0,False,True,False,True,False
1039,2.0,6.0,3,1,2,0,1.0,179.18,0,False,False,False,True,False
1041,16.0,12.0,4,3,2,1,8.0,140.81,0,False,True,False,False,True
1043,2.0,8.0,3,1,2,0,3.0,188.53,0,False,True,False,True,False
1044,6.0,6.0,2,3,5,0,5.0,261.84,0,True,False,False,True,False
1045,12.0,34.0,4,5,4,0,3.0,142.84,1,False,True,False,False,True
1047,12.0,11.0,4,3,9,0,1.0,158.06,0,False,False,True,True,False
1048,8.0,14.0,4,3,1,0,2.0,124.3,0,False,False,True,True,False
1049,3.0,28.0,4,3,3,1,0.0,163.8,1,False,True,False,True,False
1050,11.0,32.0,5,1,9,0,4.0,182.31,0,False,True,False,True,False
1051,0.0,7.0,3,3,1,0,2.0,133.75,0,False,False,True,False,True
1052,3.0,22.0,6,1,2,1,4.0,146.68,0,False,False,True,True,False
1053,1.0,16.0,4,5,3,0,1.0,150.52,0,False,False,True,False,True
1054,8.0,14.0,3,3,2,0,4.0,143.23,0,False,False,True,False,True
1055,4.0,7.0,5,3,3,0,3.0,209.74,0,False,False,False,False,True
1056,5.0,16.0,3,3,7,0,3.0,134.33,0,False,False,True,True,False
1058,4.0,14.0,3,4,4,0,0.0,264.22,0,True,False,False,False,True
1059,12.0,21.0,3,5,1,0,10.0,233.41000000000005,0,True,False,False,False,True
1060,7.0,6.0,4,2,2,1,3.0,136.22,0,False,False,True,False,False
1061,12.0,30.0,3,1,8,0,7.0,141.08,0,False,True,False,False,True
1062,0.0,8.0,1,5,8,0,1.0,134.24,0,False,False,True,False,True
1063,14.0,16.0,4,5,2,0,2.0,179.73,0,False,True,False,True,False
1064,18.0,8.0,4,2,10,0,8.0,267.92,0,True,False,False,False,False
1065,9.0,15.0,3,5,2,0,0.0,117.9,1,False,False,True,True,False
1066,11.0,26.0,4,3,5,0,3.0,182.68,0,False,True,False,True,False
1067,21.0,14.0,5,5,9,1,3.0,225.08,1,False,False,False,True,False
1068,9.0,9.0,4,4,7,0,3.0,169.25,0,False,True,False,False,True
1069,10.0,12.0,3,1,5,0,1.0,165.02,0,False,True,False,True,False
1070,8.0,17.0,4,4,3,0,1.0,145.08,0,False,False,True,True,False
1072,14.0,8.0,3,4,2,0,4.0,260.15,0,True,False,False,False,True
1073,0.0,6.0,4,5,2,0,7.0,197.14,1,False,True,False,True,False
1074,1.0,16.0,5,3,2,1,1.0,158.88,1,False,False,True,False,False
1075,14.0,16.0,5,4,2,0,9.0,161.51,0,False,True,False,False,True
1077,3.0,9.0,4,4,2,0,3.0,156.8,0,False,False,True,True,False
1079,19.0,36.0,4,1,7,0,4.0,159.52,0,False,False,True,False,True
1080,20.0,8.0,4,1,2,1,2.0,132.94,0,False,False,True,False,True
1081,9.0,7.0,4,4,1,0,2.0,122.69,0,False,False,True,True,False
1083,9.0,20.0,3,5,2,1,8.0,122.35,0,False,False,True,False,False
1084,5.0,31.0,4,1,4,0,5.0,177.38,0,False,True,False,False,True
1085,0.0,6.0,3,3,1,0,2.0,148.98,0,False,True,False,True,False
1087,15.0,14.0,1,4,7,1,0.0,123.72,0,False,True,False,False,False
1088,0.0,30.0,5,2,2,1,0.0,111.18,1,False,False,True,False,True
1089,5.0,15.0,2,4,11,0,3.0,146.09,0,False,False,True,False,True
1090,5.0,10.0,4,5,3,1,4.0,155.65,0,False,False,True,True,False
1092,2.0,15.0,4,1,3,0,3.0,158.1,0,False,False,True,False,True
1093,1.0,15.0,3,4,2,0,3.0,173.51,0,False,True,False,False,False
1095,16.0,31.0,4,5,3,1,9.0,199.06,0,False,False,False,False,False
1096,1.0,14.0,6,3,3,1,7.0,185.74,1,False,True,False,False,True
1097,0.0,11.0,3,3,2,1,0.0,128.51,1,False,False,True,False,True
1098,29.0,15.0,3,2,8,0,3.0,211.03,0,True,False,False,False,False
1099,20.0,14.0,4,3,4,0,1.0,177.58,0,False,True,False,False,False
1101,7.0,9.0,5,5,4,0,12.0,147.59,0,False,True,False,False,True
1102,19.0,13.0,3,3,3,0,0.0,152.58,0,False,True,False,False,False
1103,9.0,10.0,4,1,8,0,9.0,203.23,0,False,False,False,True,False
1104,13.0,8.0,1,4,2,0,7.0,142.44,0,False,True,False,True,False
1105,6.0,7.0,4,4,3,0,10.0,187.2,0,False,True,False,True,False
1106,10.0,16.0,4,2,3,1,0.0,166.94,0,False,True,False,True,False
1107,9.0,9.0,4,1,3,0,3.0,145.14,0,False,False,True,True,False
1108,1.0,15.0,6,5,3,0,2.0,149.51,0,False,False,True,True,False
1109,1.0,8.0,4,4,1,0,4.0,132.01,0,False,False,True,False,False
1111,5.0,7.0,3,1,2,0,7.0,204.22,0,False,False,False,True,False
1112,8.0,14.0,4,3,2,1,8.0,148.08,0,False,False,True,True,False
1113,1.0,7.0,4,4,3,0,5.0,188.97,0,False,True,False,True,False
1114,0.0,14.0,1,3,8,0,2.0,135.17,0,False,False,True,True,False
1116,18.0,35.0,2,2,5,1,12.0,258.2,0,True,False,False,False,False
1117,5.0,12.0,4,1,3,0,3.0,179.76,0,False,True,False,True,False
1118,6.0,10.0,3,4,6,0,7.0,130.55,0,False,True,False,True,False
1119,9.0,11.0,3,1,4,0,0.0,120.86,1,False,True,False,True,False
1120,9.0,8.0,4,3,2,0,0.0,175.96,0,False,False,False,False,False
1121,24.0,11.0,3,4,2,1,10.0,240.26,0,True,False,False,True,False
1122,10.0,7.0,5,3,2,0,3.0,168.74,0,False,True,False,True,False
1123,22.0,9.0,3,4,5,0,3.0,206.2,0,False,True,False,False,False
1124,6.0,7.0,4,1,2,0,3.0,148.14,0,False,False,True,True,False
1125,3.0,9.0,4,3,3,0,3.0,171.49,0,False,True,False,True,False
1126,0.0,14.0,3,4,2,1,0.0,124.72,1,False,False,True,False,True
1127,0.0,14.0,3,4,3,1,2.0,123.73,1,False,False,True,True,False
1129,5.0,10.0,3,4,3,0,2.0,139.31,0,False,False,True,True,False
1130,10.0,16.0,3,4,3,1,1.0,141.97,0,False,True,False,False,True
1131,27.0,25.0,3,4,3,0,1.0,207.25,0,False,False,False,False,False
1133,15.0,8.0,4,2,4,0,0.0,167.81,0,False,True,False,False,True
1134,5.0,8.0,3,4,1,1,2.0,140.78,0,False,True,False,True,False
1135,21.0,9.0,5,1,11,1,1.0,148.8,1,False,False,True,True,False
1136,14.0,9.0,4,3,4,0,3.0,145.01,0,False,False,True,True,False
1137,11.0,6.0,1,3,2,0,0.0,128.44,0,False,False,True,False,False
1138,10.0,8.0,6,5,4,1,3.0,227.52,0,False,False,False,True,False
1140,0.0,10.0,4,2,2,1,3.0,144.87,0,False,True,False,False,True
1141,19.0,31.0,4,4,3,0,5.0,146.77,0,False,False,True,False,True
1142,3.0,21.0,4,5,3,0,7.0,171.4,0,False,False,False,True,False
1143,11.0,6.0,4,3,10,1,0.0,153.81,1,False,False,False,False,True
1144,3.0,18.0,3,3,1,0,4.0,165.77,0,False,True,False,False,True
1145,10.0,15.0,4,4,2,0,3.0,141.89,0,False,True,False,True,False
1146,21.0,13.0,3,5,5,0,2.0,154.86,0,False,True,False,True,False
1147,14.0,7.0,4,1,6,0,4.0,190.13,0,False,True,False,True,False
1148,9.0,14.0,1,5,10,0,3.0,217.13,0,False,False,False,True,False
1149,11.0,8.0,6,1,3,0,3.0,220.25,0,False,True,False,True,False
1150,5.0,6.0,3,5,2,0,0.0,129.56,0,False,False,True,False,True
1151,9.0,15.0,4,3,3,0,5.0,168.23,0,False,False,True,False,True
1152,28.0,10.0,4,5,4,0,6.0,184.4,0,False,True,False,True,False
1153,9.0,28.0,4,1,3,1,8.0,165.14,0,False,True,False,True,False
1155,0.0,31.0,4,4,5,1,2.0,123.13,1,False,False,True,False,True
1157,2.0,15.0,3,3,10,0,2.0,129.74,0,False,False,True,True,False
1158,8.0,9.0,5,5,3,0,4.0,168.81,0,False,False,True,False,True
1159,1.0,12.0,4,2,3,0,1.0,135.51,0,False,False,True,False,True
1161,17.0,7.0,3,1,5,1,2.0,131.95,0,False,False,True,True,False
1162,10.0,19.0,3,1,2,0,7.0,142.85,0,False,True,False,True,False
1164,12.0,6.0,2,2,1,0,7.0,196.13,0,False,False,False,True,False
1165,16.0,7.0,4,5,5,0,3.0,150.76,0,False,False,True,True,False
1166,6.0,15.0,5,4,3,1,10.0,177.28,0,False,True,False,True,False
1167,3.0,28.0,2,5,3,0,3.0,224.8,0,False,False,False,True,False
1168,9.0,15.0,4,2,3,0,3.0,150.72,0,False,False,True,False,False
1169,17.0,17.0,4,1,2,0,8.0,149.55,0,False,False,True,False,True
1170,12.0,17.0,3,1,2,0,7.0,176.54,1,False,False,False,True,False
1171,16.0,33.0,3,5,9,0,1.0,208.2,0,False,False,False,True,False
1173,25.0,8.0,4,2,8,0,2.0,132.12,0,False,False,True,False,True
1175,12.0,12.0,1,3,3,0,6.0,182.37,0,False,False,False,True,False
1176,7.0,9.0,3,2,1,0,2.0,137.37,0,False,False,True,False,False
1177,12.0,12.0,4,5,5,0,7.0,199.91,0,False,False,False,True,False
1178,1.0,31.0,4,4,3,1,1.0,149.08,1,False,False,True,True,False
1179,18.0,10.0,3,4,2,0,8.0,144.47,0,False,True,False,True,False
1180,7.0,9.0,3,1,1,0,4.0,177.56,0,False,True,False,False,True
1181,14.0,31.0,4,2,3,0,8.0,158.19,0,False,True,False,True,False
1182,12.0,7.0,4,5,3,0,12.0,260.82,0,False,False,False,True,False
1185,25.0,9.0,6,4,7,0,3.0,179.82,0,False,True,False,True,False
1189,6.0,14.0,1,5,7,0,6.0,131.43,0,False,False,True,True,False
1190,10.0,7.0,4,2,6,0,1.0,191.53,0,False,True,False,False,True
1191,1.0,36.0,5,3,3,0,9.0,170.08,1,False,True,False,False,True
1192,1.0,19.0,4,1,3,0,5.0,151.47,0,False,False,True,False,True
1193,23.0,23.0,4,5,6,0,11.0,232.69,0,False,False,False,True,False
1194,4.0,35.0,4,1,2,0,7.0,154.68,0,False,True,False,True,False
1196,27.0,9.0,5,4,4,0,13.0,200.25,0,False,False,False,False,False
1199,26.0,29.0,3,1,7,0,8.0,242.75,0,True,False,False,False,True
1200,5.0,14.0,4,2,3,1,11.0,196.43,0,False,False,False,False,True
1201,0.0,8.0,1,3,1,0,7.0,165.0,0,False,True,False,False,True
1202,9.0,13.0,2,2,5,0,2.0,120.89,0,False,False,True,True,False
1203,9.0,26.0,3,1,2,0,2.0,121.57,0,False,False,True,True,False
1204,4.0,16.0,4,5,3,0,11.0,155.72,0,False,True,False,True,False
1205,7.0,14.0,1,3,2,0,8.0,167.99,0,False,True,False,True,False
1206,0.0,10.0,5,1,2,0,8.0,204.0,1,False,False,False,True,False
1208,21.0,11.0,4,1,3,1,8.0,166.63,0,False,True,False,False,True
1210,16.0,14.0,3,1,1,0,7.0,124.55,0,False,False,True,False,True
1211,1.0,32.0,5,4,7,0,2.0,150.46,1,False,False,True,False,False
1212,13.0,25.0,3,1,9,1,7.0,127.41,0,False,True,False,True,False
1213,20.0,20.0,3,3,4,1,2.0,145.91,0,False,True,False,True,False
1217,22.0,24.0,3,2,2,1,7.0,168.04,0,False,True,False,True,False
1219,14.0,12.0,3,1,4,1,0.0,235.91000000000005,0,False,False,False,False,True
1221,10.0,17.0,4,1,3,0,3.0,224.8,0,False,False,False,False,True
1222,1.0,11.0,3,1,2,0,2.0,149.08,0,False,True,False,False,True
1223,7.0,15.0,4,5,4,0,3.0,188.92,0,False,True,False,True,False
1226,11.0,9.0,4,3,6,1,3.0,221.02,0,False,True,False,False,False
1227,11.0,12.0,4,1,9,0,5.0,188.47,0,False,True,False,True,False
1228,15.0,12.0,2,3,4,1,4.0,146.27,0,False,False,True,True,False
1229,9.0,8.0,4,3,2,0,0.0,122.74,0,False,False,True,False,True
1231,9.0,17.0,3,4,2,0,2.0,122.44,0,False,False,True,True,False
1232,10.0,9.0,5,3,3,0,1.0,200.96,0,False,False,False,False,False
1233,0.0,14.0,3,3,1,1,4.0,149.07,0,False,True,False,True,False
1234,12.0,9.0,5,4,3,0,4.0,149.4,0,False,False,True,False,True
1235,6.0,19.0,3,1,4,0,2.0,134.52,0,False,False,True,False,True
1237,10.0,33.0,1,3,5,1,3.0,163.97,1,False,True,False,False,True
1238,0.0,12.0,4,2,2,1,0.0,129.26,1,False,False,True,False,True
1240,20.0,21.0,4,4,11,1,4.0,174.63,1,False,False,True,False,False
1241,17.0,14.0,3,1,7,1,2.0,124.36,0,False,False,True,False,True
1242,1.0,11.0,2,5,4,0,3.0,153.19,0,False,False,True,True,False
1243,29.0,15.0,3,3,3,0,3.0,129.42,0,False,False,True,True,False
1245,1.0,9.0,2,3,3,0,8.0,177.06,0,False,True,False,True,False
1246,11.0,9.0,5,1,7,0,1.0,176.63,0,False,True,False,True,False
1248,24.0,17.0,4,4,4,0,3.0,231.42,0,True,False,False,False,True
1249,0.0,14.0,3,5,2,1,2.0,123.8,0,False,False,True,False,True
1250,9.0,35.0,2,3,3,0,9.0,159.07,0,False,True,False,True,False
1251,19.0,27.0,6,5,4,1,8.0,233.51,0,False,False,False,True,False
1253,1.0,7.0,4,4,3,0,5.0,163.16,0,False,False,True,True,False
1254,22.0,7.0,3,3,5,0,0.0,253.79,0,True,False,False,False,True
1255,4.0,9.0,3,5,2,1,3.0,130.65,0,False,False,True,True,False
1256,4.0,32.0,5,4,4,1,3.0,215.94,1,False,False,False,False,True
1257,13.0,8.0,3,4,8,0,3.0,157.15,0,False,True,False,True,False
1258,1.0,16.0,5,5,5,0,3.0,169.0,1,False,False,True,False,False
1259,6.0,14.0,3,2,1,0,2.0,125.0,0,False,False,True,False,True
1260,5.0,36.0,5,1,3,0,8.0,179.68,0,False,True,False,True,False
1261,15.0,16.0,3,5,1,0,9.0,267.99,0,True,False,False,False,False
1262,6.0,17.0,4,3,8,0,4.0,159.33,0,False,False,True,True,False
1264,15.0,11.0,6,4,8,0,3.0,189.3,0,False,True,False,True,False
1265,3.0,9.0,5,4,4,0,1.0,191.44,0,False,True,False,False,False
1266,11.0,9.0,3,3,4,0,2.0,128.21,0,False,False,True,True,False
1267,5.0,18.0,4,5,3,1,2.0,193.33,0,False,True,False,True,False
1268,3.0,13.0,4,5,9,1,3.0,149.04,1,False,False,True,False,False
1269,10.0,24.0,5,4,4,0,4.0,180.07,0,False,True,False,True,False
1271,9.0,9.0,4,5,4,0,1.0,175.93,0,False,True,False,True,False
1273,9.0,18.0,4,5,2,0,0.0,120.33,1,False,False,True,False,False
1275,13.0,14.0,4,1,1,1,3.0,123.42,0,False,False,True,False,True
1276,11.0,14.0,3,3,3,1,7.0,126.55,1,False,False,True,True,False
1277,18.0,19.0,1,3,7,1,8.0,236.95,1,True,False,False,False,True
1278,10.0,12.0,2,5,5,1,7.0,159.74,0,False,True,False,True,False
1279,8.0,16.0,3,1,2,0,2.0,139.17,0,False,False,True,True,False
1280,1.0,9.0,4,4,3,0,1.0,138.93,1,False,False,True,False,True
1281,8.0,7.0,4,1,3,0,3.0,223.88,0,False,False,False,False,True
1282,6.0,8.0,5,4,2,0,3.0,147.69,0,False,False,True,True,False
